name_a,type_a,name_b,type_b,similarity,confidence,reason
vulnerability,vulnerability,脆弱點,vulnerability,0.8504,1.0,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
系統漏洞,vulnerability,系統弱點,vulnerability,0.8493,0.9,系統漏洞和系統弱點是同義詞
程式語言本身的漏洞,vulnerability,原始碼漏洞,vulnerability,0.8487,0.9,程式語言本身的漏洞和原始碼漏洞都是指系統或軟體中的安全弱點，兩者語意相近
認證資訊洩漏,vulnerability,資訊洩露漏洞,vulnerability,0.8474,0.8,節點 A 和節點 B 的名稱語意相近，均指涉及資訊洩漏的安全弱點
洩漏個人資訊,vulnerability,資訊洩露漏洞,vulnerability,0.8468,0.9,兩節點名稱語意等價，均指涉資訊洩露的安全弱點
脆弱點,vulnerability,弱點,vulnerability,0.8467,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
資訊資產脆弱點,vulnerability,脆弱性,vulnerability,0.8466,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
敏感資料洩漏,vulnerability,個人隱私洩漏,vulnerability,0.8463,0.8,敏感資料洩漏和個人隱私洩漏是相關的安全弱點概念，且語意上相近
安全性弱點,vulnerability,安全性問題,vulnerability,0.8425,0.8,安全性弱點和安全性問題在本體論類別vulnerability下為同義詞
資訊資產脆弱點,vulnerability,脆弱點,vulnerability,0.8367,0.9,兩節點名稱語意等價，均指稱系統或軟體中的安全弱點
存取控制失效,vulnerability,存取控制不足,vulnerability,0.8365,0.9,存取控制失效和存取控制不足是同義詞
安全性弱點,vulnerability,弱點,vulnerability,0.8333,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
xss 缺陷,vulnerability,xss,vulnerability,0.8311,0.9,兩節點名稱語意等價，均指稱XSS安全弱點
資訊洩漏弱點,vulnerability,敏感資料洩漏,vulnerability,0.8292,0.9,兩節點名稱語意等價，均指涉及敏感資訊的洩漏
洩漏個人資訊,vulnerability,認證資訊洩漏,vulnerability,0.8286,0.8,兩節點名稱語意相近，均涉及資訊洩漏
脆弱性,vulnerability,弱點,vulnerability,0.826,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
系統弱點,vulnerability,安全性弱點,vulnerability,0.8242,0.9,系統弱點和安全性弱點是同義詞
資訊洩漏弱點,vulnerability,洩漏個人資訊,vulnerability,0.8193,0.8,兩節點名稱語意相近，均指涉及資訊洩漏的安全弱點
缺乏基礎設施安全掌握度,vulnerability,基礎設施弱點,vulnerability,0.8169,0.8,兩節點名稱語意相近，均指基礎設施的安全弱點
程式語言本身的漏洞,vulnerability,不安全程式碼,vulnerability,0.8148,0.8,節點 A 和節點 B 都指涉程式語言或程式碼中的安全弱點
系統弱點,vulnerability,脆弱點,vulnerability,0.8125,0.9,系統弱點和脆弱點是同義詞
安全防護缺失,vulnerability,安全性弱點,vulnerability,0.8118,0.9,節點 A 和節點 B 的名稱語意等價，均指稱系統或軟體中的安全弱點
脆弱性,vulnerability,系統弱點,vulnerability,0.8112,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
錯誤設定,vulnerability,權限設定錯誤,vulnerability,0.8104,0.8,兩節點名稱語意相近，均指涉及設定錯誤導致的安全弱點
脆弱性,vulnerability,安全性弱點,vulnerability,0.8096,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
弱點,vulnerability,技術性弱點,vulnerability,0.8086,0.8,節點 A 和節點 B 的名稱語意相近，均指稱系統或軟體中的安全弱點
存取控制失效,vulnerability,不當的存取控制,vulnerability,0.8075,0.9,兩節點名稱語意等價，均指存取控制的安全弱點
資訊洩漏弱點,vulnerability,脆弱性,vulnerability,0.8065,0.8,節點 A 和節點 B 的名稱雖然不同，但都指涉系統或軟體中的安全弱點
安全隱患,vulnerability,安全防護缺失,vulnerability,0.8055,0.8,安全隱患和安全防護缺失都是指系統或軟體中的安全弱點
設備敏感度設定錯誤,vulnerability,安全設定錯誤,vulnerability,0.8035,0.8,兩節點名稱語意相近，均指涉安全設定的錯誤
程式碼注入,vulnerability,sql injection 漏洞,vulnerability,0.8034,0.8,程式碼注入和SQL Injection都是指攻擊者注入惡意程式碼來利用系統弱點，屬於同一類型的安全漏洞
不當的存取控制,vulnerability,存取控制不足,vulnerability,0.8033,0.9,兩節點名稱語意相近，均指存取控制的不足
vulnerability,vulnerability,安全性弱點,vulnerability,0.8028,1.0,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
vulnerability,vulnerability,程式語言本身的漏洞,vulnerability,0.8028,0.8,節點 A 和節點 B 都指涉系統或軟體中的安全弱點
vulnerability,vulnerability,資訊資產脆弱點,vulnerability,0.8023,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
資料外洩漏洞,vulnerability,資訊洩漏弱點,vulnerability,0.8013,0.9,資料外洩漏洞和資訊洩漏弱點是同義詞
風險評估,technique,風險評鑑,technique,0.9699,0.9,風險評估和風險評鑑是同義詞
多因素身分驗證,technique,多因素身份驗證,technique,0.9694,1.0,節點 A 和節點 B 的名稱語意等價，都是指多因素驗證的概念
雙因素認證,technique,雙因子認證,technique,0.9686,0.9,雙因素認證和雙因子認證是同義詞
完整備份,technique,完全備份,technique,0.9684,1.0,完整備份和完全備份是同義詞
2fa 驗證,technique,2fa 認證,technique,0.9677,0.9,2fa 驗證和 2fa 認證是同義詞
基於行為的安全方法,technique,基於行為的安全,technique,0.9624,0.9,節點 A 和節點 B 的名稱語意相近，均描述基於行為的安全方法
資產分類分級,technique,資產分類與分級,technique,0.9616,0.9,節點名稱語意等價
原碼掃描,technique,原始碼掃描,technique,0.9611,0.9,原碼掃描和原始碼掃描是同義詞
強制存取控制 (mac),technique,強制型存取控制 (mac),technique,0.9591,0.9,兩節點名稱語意等價，都是描述強制存取控制的技術方法
公開金鑰密碼演算法,technique,公開金鑰加密演算法,technique,0.9571,0.9,公開金鑰密碼演算法和公開金鑰加密演算法是同義詞
多因子認證,technique,多因素驗證,technique,0.9462,0.9,多因子認證和多因素驗證是同義詞
風險識別,technique,風險辨識,technique,0.9411,0.9,風險識別和風險辨識是同義詞
程式原碼檢測,technique,程式碼檢測,technique,0.9399,0.9,程式原碼檢測和程式碼檢測是同義詞
軟體系統更新,technique,軟體更新,technique,0.9363,0.9,軟體系統更新和軟體更新是語意等價的表達
技術型存取控制,technique,存取控制技術,technique,0.9346,0.9,兩節點名稱語意等價，都是描述存取控制的技術方法
源碼檢測,technique,源碼掃描,technique,0.9271,0.9,源碼檢測和源碼掃描是同義詞
程式原碼檢測,technique,原始碼檢測,technique,0.9236,0.9,程式原碼檢測和原始碼檢測是同義詞
身分認證技術,technique,認證技術,technique,0.9224,0.8,兩節點名稱語意相近，認證技術是身分認證技術的標準化形式
程式碼簽署 (code signing),technique,code signing,technique,0.9212,1.0,節點 A 和節點 B 的名稱語意等價
資料庫安全稽核,technique,資料庫稽核,technique,0.9194,0.9,節點 A 和節點 B 的名稱語意相近，資料庫安全稽核和資料庫稽核可以視為同義詞
google hacking,technique,google 駭客 (google-hacking),technique,0.9186,0.9,節點 A 和節點 B 的名稱語意等價，都是指利用 Google 搜索引擎進行駭客攻擊的技術
plan,technique,計畫,technique,0.9184,0.9,plan 和 計畫 是同義詞
程式碼掃描,technique,原碼掃描,technique,0.9177,0.9,程式碼掃描和原碼掃描是同義詞
源碼掃描,technique,原始碼掃描,technique,0.917,0.9,源碼掃描和原始碼掃描是同義詞
源碼掃描,technique,原碼掃描,technique,0.9151,0.9,源碼掃描和原碼掃描是同義詞
數位簽章驗證程序,technique,數位簽章驗證,technique,0.9145,0.9,節點名稱語意相近，數位簽章驗證程序和數位簽章驗證指稱同一概念
回應,technique,事件回應,technique,0.9117,0.8,節點 A 和節點 B 的名稱語意相近，均指涉技術方法或手段的回應
程式原碼檢測,technique,原碼掃描,technique,0.91,0.9,程式原碼檢測和原碼掃描是同義詞，指稱相同的技術方法或手段
check,technique,檢查,technique,0.9099,0.9,節點 A 和節點 B 的名稱語意等價，都是指檢查的意思
資訊資產分級,technique,資產分類分級,technique,0.9098,0.9,節點名稱語意相近，資訊資產分級和資產分類分級都指涉資產的分級評估
原始碼檢測,technique,原始碼掃描,technique,0.9095,0.9,原始碼檢測和原始碼掃描是同義詞
終端輸入驗證與過濾,technique,端點輸入驗證與過濾,technique,0.9077,0.9,節點名稱語意等價，僅詞彙稍有不同
單元測試,technique,單元測試 (unit test),technique,0.9024,1.0,兩節點名稱語意等價，節點B為節點A的英文標準化形式
原始碼檢測,technique,原碼掃描,technique,0.9011,0.9,原始碼檢測和原碼掃描是同義詞
程式碼掃描,technique,程式碼檢測,technique,0.9,0.9,程式碼掃描和程式碼檢測是同義詞
源碼檢測,technique,原始碼檢測,technique,0.8955,0.9,源碼檢測和原始碼檢測是同義詞
入侵偵測,technique,入侵偵測技術,technique,0.8944,0.9,入侵偵測和入侵偵測技術在本體論類別technique下為同義詞
check,technique,檢查 (check),technique,0.8939,1.0,節點 A 和節點 B 的名稱語意等價，都是指檢查的意思
憑證查核,technique,驗證,technique,0.8939,0.8,憑證查核和驗證都是用來確認身份或真實性的技術方法
回復型存取控制,technique,回復型控制,technique,0.8936,0.8,節點名稱語意相近，回復型存取控制和回復型控制可能是同義詞或一個是另一個的標準化形式
功能測試,technique,功能測試 (function test),technique,0.8928,1.0,兩節點名稱語意等價
資訊資產分類,technique,資產分類與分級,technique,0.8908,0.8,兩節點名稱雖有不同，但都指涉資產的分類與管理
風險評鑑,technique,資訊安全風險評鑑,technique,0.8883,0.8,節點 A 和節點 B 的名稱語意相近，風險評鑑和資訊安全風險評鑑都指涉及評估資訊安全風險的技術方法或手段
去識別化,technique,去識別化處理,technique,0.8862,0.9,兩節點名稱語意等價，去識別化和去識別化處理指稱同一概念
程式碼掃描,technique,原始碼掃描,technique,0.885,0.9,程式碼掃描和原始碼掃描是同義詞
弱點分析,technique,弱點評估,technique,0.8845,0.8,弱點分析和弱點評估在技術領域中常被視為同義詞
日誌分析,technique,資安日誌分析,technique,0.8825,0.8,日誌分析和資安日誌分析在技術方法上具有相似性和相關性
程式原碼檢測,technique,程式碼掃描,technique,0.882,0.9,程式原碼檢測和程式碼掃描是同義詞
密碼技術,technique,加解密技術,technique,0.8799,0.9,密碼技術和加解密技術是密碼學中相關的概念，密碼技術涵蓋了加解密技術
plan,technique,計畫 (plan),technique,0.8774,1.0,節點 A 和節點 B 的名稱語意等價
行動,technique,行動 (action),technique,0.8755,1.0,兩節點名稱語意等價
網路弱點掃描,technique,弱點掃描,technique,0.8747,0.9,節點 A 和節點 B 的名稱語意相近，網路弱點掃描是弱點掃描的一種特定形式
原始碼分析,technique,原始碼檢測,technique,0.874,0.8,原始碼分析和原始碼檢測在技術領域中常被視為同義詞
資訊資產分級,technique,資產分類與分級,technique,0.8738,0.9,節點 A 和節點 B 的名稱語意相近，均涉及資產的分級和分類
縱深防禦,technique,縱深防禦 (defense in depth),technique,0.8723,1.0,兩節點名稱語意等價，節點 B 提供的英文名稱是節點 A 的標準化形式
資訊資產分類,technique,資產分類分級,technique,0.8719,0.8,節點名稱語意相近，皆指資訊資產的分類與分級
漏洞掃描,technique,網路弱點掃描,technique,0.8711,0.9,漏洞掃描和網路弱點掃描是同義詞
資訊資產盤點,technique,資產盤點,technique,0.8706,0.8,節點 A 和節點 B 的名稱語意相近，資訊資產盤點可以視為資產盤點的特定類型
資料分析,technique,資料分析技術,technique,0.8698,0.9,節點名稱語意相近，資料分析和資料分析技術指稱同一概念
風險評估,technique,風險辨識,technique,0.8693,0.8,風險評估和風險辨識在本體論類別technique下為同義詞
多因素驗證,technique,多因素身份驗證,technique,0.8691,0.9,多因素驗證和多因素身份驗證是同義詞
稽核,technique,稽核活動,technique,0.8661,0.9,稽核和稽核活動是同義詞
資料探勘技術,technique,資料分析技術,technique,0.8651,0.8,資料探勘技術和資料分析技術是相關的技術方法，且名稱語意相近
原始碼分析,technique,程式原碼檢測,technique,0.8647,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及程式碼的分析或檢測
原始碼檢測,technique,程式碼檢測,technique,0.8627,0.9,節點 A 和節點 B 的名稱語意等價，都是指檢測程式碼的技術方法
pdca循環,technique,pdca,technique,0.8602,0.9,pdca循環和pdca是同義詞，指稱同一個概念
資料探勘技術,technique,資料探勘,technique,0.8591,0.9,節點 A 和節點 B 的名稱語意相近，資料探勘技術是資料探勘的具體方法或手段
源碼掃描,technique,程式碼掃描,technique,0.859,0.9,源碼掃描和程式碼掃描是同義詞
penetration testing,technique,滲透測試,technique,0.8589,1.0,滲透測試是penetration testing的中文翻譯
時間同步,technique,同步時脈 (clock synchronization),technique,0.8581,0.9,時間同步和同步時脈是同義詞，指的是保持多個時鐘或系統之間的時間一致性
多因素身分驗證,technique,多因素驗證,technique,0.8574,0.9,多因素身分驗證和多因素驗證是同義詞
資產盤點,technique,資產清單,technique,0.8572,0.9,資產盤點和資產清單是同義詞，均指進行資產的清查和記錄
漏洞掃描,technique,弱點掃描,technique,0.8569,0.9,漏洞掃描和弱點掃描是同義詞
多因子認證,technique,多因素身份驗證,technique,0.8567,0.9,多因子認證和多因素身份驗證是同義詞
計畫,technique,計畫 (plan),technique,0.8558,1.0,兩節點名稱語意等價
安全程式開發,technique,安全性軟體開發流程,technique,0.8548,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及安全的軟體開發方法
程式原碼檢測,technique,原始碼掃描,technique,0.8542,0.9,程式原碼檢測和原始碼掃描是同義詞
原始碼分析,technique,原碼掃描,technique,0.8541,0.9,原始碼分析和原碼掃描是同義詞
程式原碼檢測,technique,源碼檢測,technique,0.8538,0.9,程式原碼檢測和源碼檢測是同義詞
threat modeling,technique,威脅建模,technique,0.8527,0.9,節點 A 和節點 B 的名稱語意等價，都是指稱威脅建模的技術方法
密碼加鹽,technique,加鹽,technique,0.8521,0.9,密碼加鹽和加鹽在密碼學中是相關的概念，且密碼加鹽可以被視為加鹽的具體應用
檢查,technique,檢查 (check),technique,0.8513,1.0,兩節點名稱語意等價
輸入查驗,technique,輸入值的驗證,technique,0.8508,0.9,輸入查驗和輸入值的驗證是同義詞
漏洞掃描,technique,應用程式弱點掃描,technique,0.8506,0.9,漏洞掃描和應用程式弱點掃描是同義詞，指的是用於發現系統或應用程式中安全漏洞的技術方法
軟體更新,technique,安全更新,technique,0.8505,0.8,軟體更新和安全更新在技術方法上有相似的含義
風險評估,technique,資訊安全風險評鑑,technique,0.8485,0.9,風險評估和資訊安全風險評鑑是同義詞
對稱加密,technique,對稱金鑰演算法,technique,0.848,0.9,對稱加密和對稱金鑰演算法是同義詞
輸入條件檢查,technique,輸入查驗,technique,0.8472,0.9,輸入條件檢查和輸入查驗是同義詞
源碼掃描,technique,原始碼檢測,technique,0.8471,0.9,源碼掃描和原始碼檢測是同義詞
任意型存取控制,technique,存取控制方法,technique,0.8469,0.8,節點名稱語意相近，存取控制方法是任意型存取控制的一種表達形式
社會工程學,technique,社交工程,technique,0.8469,0.9,社會工程學和社交工程是同義詞
偵查型存取控制,technique,偵測型控制,technique,0.8435,0.8,偵查型存取控制和偵測型控制在技術領域中是相關的概念，且名稱語意相近，可能是同義詞或標準化形式
風險評估,technique,詳細風險評鑑,technique,0.843,0.9,風險評估和詳細風險評鑑是同義詞
緊急應變處置,technique,緊急處理程序,technique,0.8422,0.9,兩節點名稱語意相近，均指涉及應對緊急情況的處置或程序
多因素身分驗證,technique,多因子認證,technique,0.842,0.9,多因素身分驗證和多因子認證是同義詞
原始碼分析,technique,原始碼掃描,technique,0.8418,0.8,原始碼分析和原始碼掃描是同義詞，均指分析原始碼以發現潛在問題或漏洞的技術方法
源碼檢測,technique,原碼掃描,technique,0.8407,0.9,源碼檢測和原碼掃描是同義詞
存取控制方法,technique,資料存取控制,technique,0.8405,0.9,存取控制方法和資料存取控制是同義詞
細粒度存取控制,technique,存取控制技術,technique,0.8381,0.8,兩節點名稱語意相近，存取控制技術是細粒度存取控制的一種實現形式
基於行為的偵測和分析,technique,行為分析,technique,0.8376,0.8,節點 A 和節點 B 的名稱語意相近，均涉及行為分析
實體型存取控制,technique,存取控制方法,technique,0.8371,0.8,兩節點名稱語意相近，均指涉存取控制的技術方法
資訊安全觀念培訓,technique,安全培訓,technique,0.8371,0.8,節點 A 和節點 B 的名稱語意相近，均指涉及安全培訓的概念
入侵偵測,technique,即時偵測攻擊,technique,0.8357,0.8,入侵偵測和即時偵測攻擊在本體論類別technique下具有相似的語意含義
漏洞掃描,technique,漏洞測試,technique,0.8356,0.9,漏洞掃描和漏洞測試是同義詞，指稱相同的技術方法或手段
管理型存取控制,technique,存取控制技術,technique,0.8355,0.9,兩節點名稱語意相近，均指涉存取控制的技術方法
預防型存取控制,technique,存取控制方法,technique,0.835,0.8,兩節點名稱語意相近，預防型存取控制是一種存取控制方法
原碼掃描,technique,程式碼檢測,technique,0.8348,0.9,原碼掃描和程式碼檢測是同義詞
雙向認證程序,technique,雙重認證,technique,0.8343,0.9,雙向認證程序和雙重認證是同義詞
安全探測,technique,網站安全檢測,technique,0.8337,0.8,安全探測和網站安全檢測在本體論類別technique下具有相似的語意含義
源碼檢測,technique,原始碼掃描,technique,0.8337,0.9,源碼檢測和原始碼掃描是同義詞
管理型存取控制,technique,存取控制方法,technique,0.8326,0.8,兩節點名稱語意相近，均指涉存取控制的技術方法
鑑識分析,technique,偵測和分析,technique,0.8316,0.8,鑑識分析和偵測和分析在技術方法或手段的本體論類別下具有相似的語意含義
稽核,technique,檢查,technique,0.8297,0.8,稽核和檢查在技術方法或手段的語境下是同義詞
存取控制方法,technique,存取控制技術,technique,0.8281,0.9,存取控制方法和存取控制技術是同義詞
即時監測,technique,即時安全監控,technique,0.8281,0.8,兩節點名稱語意相近，均指涉及即時的監控或安全監控
營運持續實作,technique,營運持續演練,technique,0.8279,0.8,兩節點名稱語意相近，均指營運持續的實踐或演練
輸入驗證方法,technique,輸入查驗,technique,0.8278,0.9,輸入驗證方法和輸入查驗是同義詞
任意型存取控制,technique,資料存取控制,technique,0.8276,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及存取控制的技術方法
程式碼掃描,technique,原始碼檢測,technique,0.8268,0.9,程式碼掃描和原始碼檢測是同義詞
強制型存取控制,technique,強制型存取控制 (mac),technique,0.8264,0.9,兩節點名稱語意等價，強制型存取控制和強制型存取控制 (mac) 指稱相同的概念
監聽,technique,網路監看,technique,0.8263,0.8,監聽和網路監看在技術領域中常被視為同義詞
雙因素認證,technique,雙重認證,technique,0.826,0.9,雙因素認證和雙重認證是同義詞
網站安全檢測,technique,web 黑箱檢測,technique,0.8251,0.8,網站安全檢測和web黑箱檢測都是用於檢測網站安全漏洞的技術方法
預防型存取控制,technique,技術型存取控制,technique,0.825,0.8,預防型存取控制和技術型存取控制在本體論類別technique下具有相似的語意含義
程式原碼檢測,technique,源碼掃描,technique,0.8236,0.9,程式原碼檢測和源碼掃描是同義詞
輸入查驗,technique,輸入及輸出的檢查,technique,0.8226,0.8,兩節點名稱語意相近，均涉及輸入的檢查
check,technique,憑證查核,technique,0.822,0.8,憑證查核是 check 的一個特定場合下的標準化形式
凱薩演算法,technique,柵欄演算法,technique,0.8219,1.0,凱薩演算法和柵欄演算法是同義詞
雙重認證,technique,雙因子認證,technique,0.8218,0.9,雙重認證和雙因子認證是同義詞
強制型存取控制,technique,存取控制技術,technique,0.8211,0.8,強制型存取控制是一種存取控制技術的具體實現
鑑識分析,technique,資料分析,technique,0.8204,0.8,鑑識分析和資料分析在特定情境下可視為同義詞
實體型存取控制,technique,資料存取控制,technique,0.8203,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及控制存取的技術方法
雙因素認證,technique,多因子認證,technique,0.8202,0.9,雙因素認證和多因子認證是同義詞，都是指使用多種因素進行身份驗證的技術方法
執行階段,technique,實作階段,technique,0.8193,0.9,執行階段和實作階段是同義詞
管理型存取控制,technique,資料存取控制,technique,0.8191,0.8,節點 A 和節點 B 的名稱語意相近，均與存取控制相關
猜測密碼,technique,密碼破解,technique,0.8189,0.9,猜測密碼和密碼破解是密碼攻擊的同義詞
實體型存取控制,technique,存取控制技術,technique,0.8177,0.9,兩節點名稱語意等價，存取控制技術是實體型存取控制的標準化形式
資料分級,technique,資訊資產分級,technique,0.817,0.9,資料分級和資訊資產分級是同義詞，均指將資訊或資料按照重要性或敏感度進行分類和評級
任意型存取控制,technique,存取控制技術,technique,0.8167,0.9,節點名稱語意相近，存取控制技術是任意型存取控制的一種標準化形式
資料分級,technique,資產分類分級,technique,0.8166,0.8,資料分級和資產分類分級在技術方法上具有相似的語意含義
軟體系統更新,technique,安全更新,technique,0.8162,0.9,軟體系統更新和安全更新在本體論類別technique下具有語意等價性
多因子認證,technique,多重要素驗證,technique,0.816,0.9,多因子認證和多重要素驗證是同義詞
分散式存取控制,technique,存取控制技術,technique,0.8157,0.8,兩節點名稱語意相近，分散式存取控制是一種存取控制技術的實現形式
因子認證,technique,多因素驗證,technique,0.8146,0.9,因子認證和多因素驗證是同義詞，都是指使用多個因子來驗證用戶身份的技術方法
多因素驗證,technique,多重要素驗證,technique,0.8144,0.9,多因素驗證和多重要素驗證是同義詞
設計階段,technique,精細規劃階段,technique,0.8143,0.8,設計階段和精細規劃階段在本體論類別technique下為同義詞
原始碼分析,technique,程式碼掃描,technique,0.8137,0.9,原始碼分析和程式碼掃描是同義詞
預防型存取控制,technique,存取控制技術,technique,0.8136,0.8,兩節點名稱語意相近，預防型存取控制是一種存取控制技術
資訊備份,technique,系統備份,technique,0.8135,0.8,資訊備份和系統備份在技術領域中常被視為同義詞
輸入驗證方法,technique,輸入值的驗證,technique,0.8117,0.9,兩節點名稱語意等價，都是描述驗證輸入的方法
網路弱點掃描,technique,web 黑箱檢測,technique,0.8102,0.8,網路弱點掃描和web黑箱檢測都是用於檢測網路安全漏洞的技術，名稱雖不同但語意相近
source code review,technique,程式碼檢測,technique,0.8099,0.9,source code review 和 程式碼檢測 是同義詞
check,technique,驗證,technique,0.8093,0.9,check 和 驗證 是同義詞
網路弱點掃描,technique,網路探測技術,technique,0.8085,0.8,網路弱點掃描和網路探測技術在本體論類別technique下具有相似的語意含義
資料存取控制,technique,存取控制技術,technique,0.8082,0.9,兩節點名稱語意等價，都是描述存取控制的技術方法
加解密演算法,technique,加解密技術,technique,0.8071,0.9,節點 A 和節點 B 的名稱語意相近，均指涉加解密的技術方法
惡意格式化封包,technique,變造封包,technique,0.8067,0.8,惡意格式化封包和變造封包都是指對封包進行篡改的技術手段
原始碼分析,technique,程式碼檢測,technique,0.8064,0.8,原始碼分析和程式碼檢測是同義詞
penetration testing,technique,漏洞測試,technique,0.8053,0.9,penetration testing 和 漏洞測試 是同義詞
營運衝擊分析,technique,營運衝擊分析 (bia),technique,0.8052,1.0,兩節點名稱語意等價
風險處理,technique,風險降低,technique,0.8051,0.8,風險處理和風險降低在技術方法上具有相似的含義
雙因素認證,technique,多因素驗證,technique,0.8044,0.9,雙因素認證和多因素驗證都是用於驗證用戶身份的技術方法，雖然名稱不同，但其實質是相同的安全技術手段
輸入條件檢查,technique,輸入值的驗證,technique,0.8027,0.9,輸入條件檢查和輸入值的驗證是同義詞
技術型存取控制,technique,存取控制方法,technique,0.8023,0.8,兩節點名稱語意相近，均指涉存取控制的技術方法
檢查,technique,驗證,technique,0.8021,0.8,檢查和驗證在技術方法上有相似的含義
act,technique,行動,technique,0.8017,0.9,act 和 行動 是語意等價的同義詞
源碼檢測,technique,程式碼檢測,technique,0.8015,0.9,源碼檢測和程式碼檢測是同義詞
資訊資產分類,technique,資料分級,technique,0.8014,0.8,資訊資產分類和資料分級在資安領域中常被視為同義詞
鑑識追蹤,technique,追蹤技術,technique,0.8007,0.9,鑑識追蹤和追蹤技術在技術方法或手段的語意上相當接近
資料庫備份,technique,資料備份流程,technique,0.8,0.8,節點名稱語意相近，均指涉資料的備份
國際移動用戶識別碼(imsi),data,國際移動用戶識別碼 (imsi),data,0.9963,1.0,兩節點名稱完全相同
帳號及密碼,data,帳號與密碼,data,0.995,0.9,兩節點名稱語意等價，都是指帳號和密碼的組合
系統紀錄,data,系統記錄,data,0.9886,1.0,系統紀錄和系統記錄是同義詞
操作紀錄,data,操作記錄,data,0.9818,0.9,操作紀錄和操作記錄是同義詞
資料傳輸,data,傳輸資料,data,0.9803,0.9,資料傳輸和傳輸資料是語意等價的表達
敏感檔案,data,敏感文件,data,0.9776,0.9,節點 A 和節點 B 的名稱語意等價，均指稱機密或保密的檔案或文件
檔案,data,文件檔案,data,0.9759,0.9,檔案和文件檔案在此語境下是同義詞
文件,data,檔案,data,0.9739,0.9,文件和檔案在資訊或資料的本體論類別中是同義詞
機密性資料,data,機密資料,data,0.9738,0.9,機密性資料和機密資料在語意上相當接近，差異主要在於『性』的修飾，可能是同義詞或標準化形式
網際網路封包,data,網路封包,data,0.9716,0.9,網際網路封包和網路封包在此語境下是同義詞
文件,data,文件檔案,data,0.9697,0.9,文件和文件檔案在此語境下為同義詞
帳號及密碼,data,帳號/密碼,data,0.9693,0.9,節點 A 和節點 B 的名稱語意等價，都是指帳號和密碼的組合
帳號/密碼,data,帳號與密碼,data,0.969,0.9,帳號/密碼和帳號與密碼語意等價
密碼檔,data,密碼檔案,data,0.9684,0.9,節點 A 和節點 B 的名稱語意等價，都是指密碼相關的檔案
機密檔案,data,機密文件,data,0.9668,0.9,機密檔案和機密文件是同義詞
敏感性資料,data,敏感資料,data,0.9652,0.9,節點 A 和節點 B 的名稱語意等價，都是指涉及敏感信息的資料
個人資料,data,個人資訊,data,0.9644,0.9,個人資料和個人資訊是同義詞
個人基本資料,data,個人資料,data,0.963,0.9,個人基本資料和個人資料是同義詞
敏感性資訊,data,敏感資訊,data,0.9613,0.9,兩節點名稱語意等價
用戶資料,data,使用者資料,data,0.9585,0.9,用戶資料和使用者資料是同義詞
操作紀錄,data,操作行為記錄,data,0.9576,0.9,操作紀錄和操作行為記錄是同義詞
操作記錄,data,操作行為記錄,data,0.955,0.9,操作記錄和操作行為記錄在語意上相近，且行為記錄可以視為記錄的標準化形式
網路通訊資料,data,通訊資料,data,0.9501,0.8,節點名稱語意相近，網路通訊資料可視為通訊資料的一種特定類型
敏感資訊,data,敏感資料,data,0.9479,0.9,節點 A 和節點 B 的名稱語意等價，都是指敏感的資訊或資料
敏感個人資料,data,敏感資料,data,0.947,0.8,節點 A 和節點 B 的名稱語意相近，均指涉敏感性質的資料
.bash_history,data,~/.bash_history,data,0.944,0.9,節點 A 和節點 B 都指向使用者 bash 的命令歷史記錄檔
個人基本資料,data,個人資訊,data,0.9434,0.9,個人基本資料和個人資訊是同義詞
日誌,data,日誌記錄,data,0.9431,0.9,日誌和日誌記錄在資訊或資料的本體論類別中是同義詞
系統紀錄,data,系統紀錄資料,data,0.942,0.9,系統紀錄和系統紀錄資料在語意上相近，且都指涉系統中儲存的資料
機密資料,data,密文資料,data,0.9394,0.9,機密資料和密文資料都是指需要保密的資訊或資料
認證資訊,data,驗證資訊,data,0.9381,0.9,認證資訊和驗證資訊在資訊安全領域中常被視為同義詞
流量,data,網路流量,data,0.9374,0.9,節點 A 和節點 B 的名稱語意相近，均指涉網路流量
人事資料,data,員工資料,data,0.9298,0.9,人事資料和員工資料是同義詞
客戶資料庫,data,客戶資料,data,0.9293,0.9,節點 A 和節點 B 的名稱語意相近，均指涉客戶的資料
敏感個人資料,data,敏感資訊,data,0.9292,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及個人隱私的敏感資訊
帳號密碼,data,帳號及密碼,data,0.9276,0.9,帳號密碼和帳號及密碼語意等價
帳號密碼,data,帳號與密碼,data,0.9276,0.9,帳號密碼和帳號與密碼語意等價
